=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 3, Norm bitsize: 193, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): ON

Generating 500 random ideal lattice pairs (bitsize=193)...
Mode: alg2
  Set 1: 2035.81 ms
  Set 2: 2033.84 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   194 |    3278 |    5377     385    5377 |     769     385     769 |    0.2   12.3    2.7
1    |   194 |    3283 |    5374     385    5374 |     770     385     770 |    0.1   12.4    2.7
2    |   194 |    3283 |    5368     385    5368 |     770     385     770 |    0.1   13.0    2.7
3    |   194 |    3280 |    5373     384    5373 |     769     384     769 |    0.1   12.4    2.7
4    |   194 |    3282 |    5364     385    5364 |     770     385     770 |    0.1   12.4    2.7
5    |   194 |    3269 |    4603     384    4603 |     768     384     768 |    0.1    9.4    2.4
6    |   194 |    3285 |    5375     386    5375 |     772     386     772 |    0.1   11.9    2.6
7    |   194 |    3267 |    5358     384    5358 |     768     384     768 |    0.1   12.5    2.6
8    |   193 |    3263 |    5349     387    5349 |     775     387     775 |    0.2   12.4    2.7
9    |   194 |    3278 |    5368     384    5368 |     768     384     768 |    0.1   13.1    2.8
10   |   194 |    3276 |    5368     384    5368 |     769     384     769 |    0.1   12.2    2.7
11   |   194 |    3279 |    5377     385    5377 |     770     385     770 |    0.1   12.1    2.6
12   |   194 |    3280 |    5377     385    5377 |     771     385     771 |    0.1   11.9    2.6
13   |   193 |    2487 |    4601     384    4601 |     768     384     768 |    0.1    9.3    2.4
14   |   194 |    3277 |    5372     385    5372 |     769     385     769 |    0.1   12.5    2.7
15   |   194 |    3280 |    5370     385    5370 |     770     385     770 |    0.1   11.9    2.6
16   |   193 |    3257 |    5358     384    5358 |     768     384     768 |    0.1   12.2    2.6
17   |   193 |    3259 |    4604     384    4604 |     768     384     768 |    0.1    9.3    2.4
18   |   193 |    3253 |    5352     383    5352 |     767     383     767 |    0.1   12.9    2.8
19   |   194 |    3288 |    5375     386    5375 |     773     386     773 |    0.1   12.0    2.8
20   |   193 |    3253 |    5343     383    5343 |     766     383     766 |    0.1   12.9    2.8
21   |   194 |    3289 |    5377     386    5377 |     771     386     771 |    0.1    9.5    2.3
22   |   194 |    2687 |    5357     384    5357 |     768     384     768 |    0.1   12.3    2.7
23   |   194 |    2277 |    4569     383    4569 |     768     384     768 |    0.1    8.6    2.1
24   |   194 |    2297 |    5376     385    5376 |     771     385     771 |    0.1   12.1    2.6
