=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 1, Norm bitsize: 127, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): OFF

Generating 500 random ideal lattice pairs (bitsize=127)...
Mode: alg2
  Set 1: 670.85 ms
  Set 2: 682.64 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   128 |    2160 |    3532     253    3532 |     507     253     507 |    0.1    5.1    0.5
1    |   126 |    2089 |    2973     251    2973 |     501     251     501 |    0.1    3.9    0.4
2    |   127 |    2132 |    3508     251    3508 |     504     252     504 |    0.1    5.0    0.4
3    |   126 |    2122 |    3488     251    3488 |     502     251     502 |    0.1    5.4    0.4
4    |   128 |    2153 |    3518     253    3518 |     506     253     506 |    0.1    5.4    0.4
5    |   128 |    2155 |    3532     253    3532 |     506     253     506 |    0.1    5.6    0.5
6    |   128 |    2157 |    3513     253    3513 |     506     253     506 |    0.1    5.1    0.4
7    |   128 |    2156 |    3508     254    3508 |     507     254     507 |    0.1    5.2    0.5
8    |   128 |    1615 |    3001     252    3001 |     504     252     504 |    0.1    3.9    0.4
9    |   128 |    2147 |    3517     252    3517 |     505     252     505 |    0.1    4.0    0.4
10   |   128 |    2150 |    3508     252    3508 |     505     253     505 |    0.1    5.1    0.5
11   |   127 |    1748 |    3010     251    3010 |     503     251     503 |    0.1    4.1    0.4
12   |   128 |    1386 |    3520     253    3520 |     506     253     506 |    0.1    5.1    0.4
13   |   126 |    2120 |    3003     251    3003 |     502     251     502 |    0.1    3.8    0.4
14   |   127 |    2136 |    3517     252    3517 |     504     252     504 |    0.1    5.1    0.5
15   |   128 |    2156 |    3523     253    3523 |     506     253     506 |    0.1    5.5    0.5
16   |   127 |    2141 |    3512     252    3512 |     505     252     505 |    0.1    5.3    0.5
17   |   128 |    1514 |    3535     253    3535 |     507     253     507 |    0.1    4.4    0.4
18   |   128 |    2154 |    3523     253    3523 |     506     253     506 |    0.1    5.1    0.4
19   |   128 |    2144 |    3517     253    3517 |     507     253     507 |    0.1    5.3    0.5
20   |   128 |    2155 |    3510     253    3510 |     507     253     507 |    0.1    5.3    0.4
21   |   127 |    1491 |    3006     252    3006 |     504     252     504 |    0.1    4.2    0.4
22   |   128 |    2161 |    3529     253    3529 |     507     254     507 |    0.1    5.4    0.5
23   |   126 |    1365 |    3003     251    3003 |     503     251     503 |    0.1    4.1    0.4
24   |   128 |    2158 |    3520     253    3520 |     506     253     506 |    0.1    5.2    0.4
25   |   128 |    1496 |    3012     251    3012 |     504     252     504 |    0.1    4.3    0.4
26   |   128 |    2143 |    3492     253    3492 |     507     253     507 |    0.1    4.8    0.4
27   |   128 |    2168 |    3530     254    3530 |     507     254     507 |    0.1    5.4    0.4
28   |   128 |    2158 |    3528     254    3528 |     507     254     507 |    0.1    5.2    0.4
29   |   128 |    2157 |    3031     253    3031 |     506     253     506 |    0.1    4.2    0.4
30   |   128 |    1510 |    3531     254    3531 |     508     254     508 |    0.1    5.5    0.5
31   |   128 |    2158 |    3525     254    3525 |     508     254     508 |    0.1    5.4    0.5
32   |   128 |    2088 |    2971     252    2971 |     505     252     505 |    0.1    4.1    0.4
33   |   128 |    2148 |    3519     253    3519 |     506     253     506 |    0.1    5.1    0.4
34   |   128 |    2162 |    3530     253    3530 |     507     253     507 |    0.1    5.0    0.4
35   |   128 |    1493 |    3011     252    3011 |     504     252     504 |    0.1    3.9    0.4
36   |   127 |    2146 |    3516     252    3516 |     506     253     506 |    0.1    4.0    0.4
37   |   127 |    2128 |    3506     251    3506 |     503     251     503 |    0.1    5.3    0.4
38   |   128 |    1902 |    3536     254    3536 |     507     254     507 |    0.1    5.6    0.5
39   |   128 |    2159 |    3524     254    3524 |     508     254     508 |    0.1    5.2    0.5
40   |   127 |    2137 |    3507     251    3507 |     503     251     503 |    0.1    5.7    0.4
41   |   127 |    2139 |    3506     251    3506 |     503     251     503 |    0.1    5.3    0.5
42   |   127 |    2122 |    3009     252    3009 |     504     252     504 |    0.1    4.0    0.4
43   |   128 |    1878 |    3519     252    3519 |     505     252     505 |    0.1    4.2    0.4
44   |   128 |    1771 |    3473     258    3473 |     515     258     515 |    0.1    4.2    0.4
45   |   128 |    2148 |    3514     252    3514 |     504     252     504 |    0.1    5.1    0.4
46   |   128 |    2141 |    3519     252    3519 |     505     252     505 |    0.1    5.4    0.5
47   |   128 |    1621 |    3016     252    3016 |     504     252     504 |    0.1    4.0    0.4
48   |   128 |    1652 |    3536     253    3536 |     507     253     507 |    0.1    4.1    0.4
49   |   127 |    2141 |    3505     252    3505 |     503     252     503 |    0.1    5.1    0.4
50   |   128 |    2137 |    3512     252    3512 |     505     252     505 |    0.1    5.3    0.4
51   |   128 |    2140 |    3524     253    3524 |     506     253     506 |    0.1    5.1    0.4
52   |   128 |    2104 |    3467     253    3467 |     507     253     507 |    0.1    3.9    0.4
53   |   128 |    2159 |    3514     254    3514 |     508     254     508 |    0.1    5.2    0.4
54   |   127 |    2131 |    3498     251    3498 |     502     251     502 |    0.1    5.1    0.4
55   |   128 |    2148 |    3522     253    3522 |     506     253     506 |    0.1    5.1    0.5
56   |   128 |    2156 |    3528     253    3528 |     506     253     506 |    0.1    5.4    0.5
57   |   128 |    2157 |    3521     253    3521 |     506     253     506 |    0.1    5.3    0.5
58   |   127 |    2144 |    3516     253    3516 |     506     253     506 |    0.1    5.3    0.4
59   |   127 |    2141 |    3513     253    3513 |     505     253     505 |    0.1    5.1    0.4
60   |   127 |    1509 |    3507     253    3507 |     507     253     507 |    0.1    4.3    0.4
61   |   128 |    2159 |    3031     253    3031 |     506     253     506 |    0.1    4.3    0.4
62   |   128 |    2155 |    3518     252    3518 |     505     252     505 |    0.1    5.1    0.4
63   |   128 |    2155 |    3521     252    3521 |     506     253     506 |    0.1    5.4    0.5
64   |   128 |    2158 |    3509     254    3509 |     508     254     508 |    0.1    5.2    0.4
65   |   128 |    2154 |    3527     253    3527 |     507     253     507 |    0.1    5.2    0.5
66   |   128 |    2167 |    3533     254    3533 |     509     254     509 |    0.1    5.3    0.5
67   |   126 |    1356 |    2980     251    2980 |     502     251     502 |    0.1    3.9    0.4
68   |   128 |    2166 |    3530     254    3530 |     508     254     508 |    0.1    5.2    0.5
69   |   128 |    2160 |    3526     254    3526 |     507     254     507 |    0.1    5.2    0.5
70   |   128 |    1640 |    3519     253    3519 |     507     253     507 |    0.1    5.3    0.4
71   |   127 |    2133 |    3504     251    3504 |     503     251     503 |    0.1    5.1    0.4
72   |   127 |    2143 |    3510     252    3510 |     504     252     504 |    0.1    5.2    0.4
73   |   128 |    2151 |    3512     252    3512 |     504     252     504 |    0.1    4.9    0.4
74   |   127 |    1765 |    3500     254    3500 |     508     254     508 |    0.1    4.5    0.4
75   |   128 |    2139 |    3503     251    3503 |     503     251     503 |    0.1    4.9    0.4
76   |   128 |    2154 |    3519     252    3519 |     505     252     505 |    0.1    5.1    0.4
77   |   127 |    1599 |    3423     253    3423 |     506     253     506 |    0.1    3.9    0.4
78   |   128 |    1889 |    3516     252    3516 |     507     254     507 |    0.1    5.4    0.4
79   |   128 |    2167 |    3527     254    3527 |     508     254     508 |    0.1    5.4    0.4
80   |   127 |    2145 |    3519     253    3519 |     506     253     506 |    0.1    5.5    0.4
81   |   128 |    2163 |    3524     255    3524 |     510     255     510 |    0.1    5.2    0.5
82   |   128 |    2155 |    3523     253    3523 |     506     253     506 |    0.1    5.2    0.4
