=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 3, Norm bitsize: 193, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): ON

Generating 500 random ideal lattice pairs (bitsize=193)...
Mode: alg2
  Set 1: 1968.66 ms
  Set 2: 1970.06 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   193 |    3270 |    5366     384    5366 |     769     384     769 |    0.1   12.8    2.8
1    |   194 |    3280 |    5371     386    5371 |     771     386     771 |    0.2   12.2    2.6
2    |   194 |    3280 |    5369     386    5369 |     772     386     772 |    0.1   12.4    2.7
3    |   193 |    3265 |    5365     384    5365 |     768     384     768 |    0.1   12.1    2.7
4    |   194 |    3289 |    5379     385    5379 |     771     385     771 |    0.1   13.1    2.7
5    |   193 |    3257 |    5358     383    5358 |     767     384     767 |    0.1   12.4    2.7
6    |   192 |    3244 |    4590     383    4590 |     766     383     766 |    0.1    9.3    2.3
7    |   193 |    3266 |    5361     384    5361 |     769     384     769 |    0.1   12.8    2.7
8    |   194 |    3288 |    5383     385    5383 |     770     385     770 |    0.1   12.6    2.7
9    |   194 |    3282 |    5377     385    5377 |     770     385     770 |    0.1   12.5    2.7
10   |   194 |    3283 |    5373     385    5373 |     771     385     771 |    0.1   12.4    2.7
11   |   192 |    2481 |    5335     384    5335 |     768     384     768 |    0.1    9.3    2.3
12   |   194 |    3278 |    5369     385    5369 |     770     385     770 |    0.2   12.8    2.7
13   |   192 |    3248 |    5346     383    5346 |     766     383     766 |    0.1   12.1    2.7
14   |   194 |    2694 |    5351     385    5351 |     769     385     769 |    0.1    9.4    2.3
15   |   194 |    3283 |    5382     385    5382 |     771     385     771 |    0.1   12.7    2.8
16   |   194 |    3273 |    5368     385    5368 |     770     385     770 |    0.2   12.2    2.6
17   |   194 |    3275 |    5364     385    5364 |     769     385     769 |    0.1   12.1    2.6
18   |   194 |    3277 |    5379     385    5379 |     770     385     770 |    0.1   12.9    2.7
19   |   194 |    3290 |    5383     385    5383 |     771     386     771 |    0.2   12.5    2.7
20   |   194 |    3280 |    5360     386    5360 |     771     386     771 |    0.2   12.4    2.6
21   |   194 |    2483 |    5364     384    5364 |     769     384     769 |    0.2   12.4    2.6
22   |   193 |    2286 |    4590     384    4590 |     768     384     768 |    0.1    9.1    2.3
23   |   194 |    3283 |    5363     386    5363 |     772     386     772 |    0.1   13.2    2.9
24   |   193 |    3266 |    5359     384    5359 |     769     384     769 |    0.1   12.6    2.8
25   |   193 |    3259 |    5347     383    5347 |     767     383     767 |    0.1   11.7    2.6
26   |   193 |    3262 |    5364     384    5364 |     767     384     767 |    0.1   12.5    2.7
27   |   194 |    3274 |    5361     384    5361 |     769     384     769 |    0.1   12.8    2.7
28   |   193 |    3252 |    5330     383    5330 |     768     383     768 |    0.1   12.8    3.1
29   |   192 |    2468 |    5322     384    5322 |     767     384     767 |    0.2   10.4    2.3
30   |   193 |    3244 |    5349     383    5349 |     766     383     766 |    0.1    9.6    2.3
31   |   193 |    3259 |    5356     384    5356 |     768     384     768 |    0.1   12.6    2.7
32   |   194 |    3275 |    5363     384    5363 |     768     384     768 |    0.1   13.0    2.8
33   |   194 |    3283 |    5379     385    5379 |     770     385     770 |    0.1   12.9    2.8
34   |   194 |    3268 |    5369     384    5369 |     770     385     770 |    0.1   12.4    2.7
35   |   194 |    2121 |    5376     385    5376 |     771     385     771 |    0.1   13.1    2.7
36   |   194 |    3291 |    5380     385    5380 |     771     385     771 |    0.1   12.7    2.8
37   |   194 |    3285 |    5376     386    5376 |     772     386     772 |    0.2   13.1    2.9
38   |   194 |    3270 |    5363     384    5363 |     768     384     768 |    0.1   12.9    2.7
39   |   194 |    3285 |    5377     385    5377 |     771     385     771 |    0.1   13.3    2.8
40   |   194 |    3278 |    5367     385    5367 |     771     385     771 |    0.2   13.1    3.8
41   |   193 |    3263 |    5362     384    5362 |     768     384     768 |    0.2   13.3    2.8
42   |   194 |    3267 |    5352     384    5352 |     768     384     768 |    0.2   12.7    2.8
43   |   193 |    3233 |    4581     383    4581 |     767     383     767 |    0.1    9.6    2.4
44   |   194 |    3290 |    5380     386    5380 |     772     386     772 |    0.1   12.7    2.8
45   |   194 |    3274 |    5368     385    5368 |     770     385     770 |    0.1   12.8    2.8
46   |   193 |    3265 |    5356     384    5356 |     768     384     768 |    0.1   13.1    2.9
47   |   194 |    3265 |    5347     384    5347 |     768     384     768 |    0.1   13.6    2.8
48   |   194 |    3264 |    5351     384    5351 |     767     384     767 |    0.2   13.1    2.7
49   |   194 |    3239 |    5315     384    5315 |     767     384     767 |    0.2   12.8    2.7
50   |   194 |    3267 |    5356     384    5356 |     768     384     768 |    0.1   13.2    2.8
51   |   192 |    3236 |    5328     383    5328 |     765     383     765 |    0.1   12.6    2.7
52   |   193 |    3262 |    5357     384    5357 |     767     384     767 |    0.1   12.7    2.7
53   |   194 |    3280 |    5358     385    5358 |     769     385     769 |    0.2   12.9    2.8
54   |   192 |    3240 |    5337     383    5337 |     765     383     765 |    0.2   12.9    2.7
55   |   193 |    3272 |    5366     384    5366 |     770     384     770 |    0.2   12.3    2.7
56   |   194 |    2492 |    5356     386    5356 |     773     386     773 |    0.2   15.7    3.7
57   |   194 |    3277 |    5373     385    5373 |     770     385     770 |    0.3   14.0    2.8
58   |   193 |    3233 |    5308     384    5308 |     767     384     767 |    0.2    9.6    2.7
59   |   194 |    3264 |    5367     384    5367 |     769     384     769 |    0.6   17.0    3.1
60   |   193 |    3266 |    5363     384    5363 |     768     384     768 |    0.3   15.3    3.5
61   |   194 |    2512 |    5377     386    5377 |     772     386     772 |    0.3   15.7    2.9
62   |   194 |    3267 |    5338     384    5338 |     769     384     769 |    0.2   14.3    2.8
63   |   194 |    3280 |    5374     385    5374 |     770     385     770 |    0.2   14.4    3.3
64   |   194 |    3255 |    5359     384    5359 |     769     384     769 |    0.2   13.6    3.0
65   |   194 |    3276 |    5364     385    5364 |     771     385     771 |    0.2   14.1    2.8
66   |   193 |    3249 |    4594     383    4594 |     767     383     767 |    0.2   10.4    2.5
67   |   194 |    2102 |    4603     384    4603 |     768     384     768 |    0.2    9.8    2.4
68   |   193 |    2264 |    4554     383    4554 |     767     383     767 |    0.1    9.6    2.3
69   |   194 |    2492 |    5371     384    5371 |     769     385     769 |    0.2   13.1    2.8
70   |   194 |    3274 |    5371     384    5371 |     769     384     769 |    0.2   14.7    2.9
71   |   194 |    3286 |    5372     386    5372 |     772     386     772 |    0.2   12.8    2.8
72   |   194 |    2514 |    5369     386    5369 |     772     386     772 |    0.2   10.0    2.5
73   |   194 |    3283 |    5369     385    5369 |     770     385     770 |    0.2   13.3    2.8
74   |   194 |    3276 |    5370     385    5370 |     771     385     771 |    0.2   13.0    2.9
75   |   191 |    3214 |    4548     383    4548 |     765     383     765 |    0.2   10.6    2.4
76   |   194 |    3283 |    5385     385    5385 |     771     385     771 |    0.2   15.2    2.8
77   |   194 |    3270 |    5371     384    5371 |     769     384     769 |    0.2   13.5    2.9
78   |   194 |    3233 |    4578     384    4578 |     768     384     768 |    0.2   10.7    2.3
79   |   193 |    3218 |    5275     383    5275 |     766     383     766 |    0.2   12.8    2.7
80   |   194 |    3268 |    5356     384    5356 |     768     384     768 |    0.2   12.5    2.8
81   |   194 |    3278 |    5384     385    5384 |     771     385     771 |    0.2   12.6    2.8
82   |   194 |    2289 |    4601     384    4601 |     769     384     769 |    0.1    9.7    2.5
83   |   194 |    3284 |    5380     385    5380 |     771     385     771 |    0.2   12.8    2.7
84   |   194 |    3269 |    5345     385    5345 |     769     385     769 |    0.1   12.9    2.9
85   |   194 |    3278 |    5374     385    5374 |     769     385     769 |    0.2   15.8    2.7
86   |   194 |    3258 |    5345     383    5345 |     767     383     767 |    0.2   13.5    2.8
87   |   194 |    3280 |    5372     385    5372 |     771     385     771 |    0.2   12.9    2.7
88   |   193 |    3257 |    5358     384    5358 |     768     384     768 |    0.1   12.6    2.7
89   |   194 |    3278 |    5351     385    5351 |     771     385     771 |    0.1   12.7    2.8
90   |   194 |    3268 |    5361     384    5361 |     769     385     769 |    0.1   14.4    2.8
91   |   194 |    3286 |    5372     385    5372 |     770     385     770 |    0.2   13.9    3.0
92   |   193 |    3269 |    5364     384    5364 |     768     384     768 |    0.2   14.8    4.4
93   |   193 |    3259 |    5359     383    5359 |     767     383     767 |    0.3   17.5    3.4
94   |   194 |    3265 |    5367     384    5367 |     769     384     769 |    0.2   14.6    3.2
95   |   194 |    3282 |    5380     385    5380 |     770     385     770 |    0.2   13.3    2.8
96   |   194 |    3283 |    5369     385    5369 |     770     385     770 |    0.1   12.9    2.8
97   |   194 |    3271 |    5365     385    5365 |     770     385     770 |    0.2   12.8    2.8
98   |   193 |    2468 |    5312     384    5312 |     768     384     768 |    0.2   10.6    2.4
99   |   194 |    3287 |    5370     386    5370 |     773     386     773 |    0.2   13.7    2.9
100  |   191 |    3220 |    4571     383    4571 |     765     383     765 |    0.1    9.7    2.4
101  |   194 |    3282 |    5370     385    5370 |     770     385     770 |    0.2   13.4    2.8
102  |   193 |    2097 |    4591     383    4591 |     767     383     767 |    0.1    8.9    2.3
103  |   194 |    3281 |    5378     386    5378 |     771     386     771 |    0.1   13.3    2.8
104  |   194 |    2697 |    5375     385    5375 |     771     385     771 |    0.2    9.7    2.4
105  |   194 |    3258 |    4605     384    4605 |     768     384     768 |    0.1    9.9    2.5
106  |   194 |    2895 |    5367     385    5367 |     770     385     770 |    0.2   12.6    2.8
107  |   194 |    3275 |    5371     385    5371 |     771     385     771 |    0.1   14.6    2.8
108  |   194 |    2510 |    5385     386    5385 |     771     386     771 |    0.2   12.6    2.7
109  |   193 |    3270 |    5360     385    5360 |     771     385     771 |    0.1   12.2    2.7
110  |   194 |    3281 |    4611     385    4611 |     769     385     769 |    0.1    9.2    2.4
111  |   191 |    3227 |    4570     383    4570 |     765     383     765 |    0.1    9.3    2.3
112  |   194 |    3285 |    5371     385    5371 |     771     386     771 |    0.1   12.3    2.7
113  |   194 |    2691 |    5379     385    5379 |     770     385     770 |    0.1    9.8    2.5
114  |   194 |    3277 |    5366     384    5366 |     769     384     769 |    0.1   12.3    2.6
115  |   194 |    2703 |    5371     386    5371 |     772     386     772 |    0.1    9.5    2.4
116  |   194 |    3269 |    5357     384    5357 |     769     384     769 |    0.2   12.6    2.7
117  |   194 |    3276 |    5373     385    5373 |     771     385     771 |    0.1   12.7    2.7
118  |   194 |    3272 |    5375     385    5375 |     769     385     769 |    0.1   12.8    2.7
119  |   190 |    2251 |    4541     383    4541 |     765     383     765 |    0.1    8.8    2.3
120  |   194 |    3257 |    5340     383    5340 |     768     383     768 |    0.1   12.3    2.7
121  |   192 |    3246 |    4591     384    4591 |     767     384     767 |    0.2    9.2    2.3
122  |   194 |    2290 |    5367     385    5367 |     771     385     771 |    0.2   13.0    2.7
123  |   194 |    3291 |    5381     385    5381 |     771     385     771 |    0.1   12.4    2.7
124  |   194 |    3262 |    5362     385    5362 |     769     385     769 |    0.1   13.2    2.7
125  |   194 |    3202 |    4550     384    4550 |     768     384     768 |    0.1    9.1    2.3
126  |   193 |    3262 |    5360     384    5360 |     768     384     768 |    0.1   12.5    2.7
127  |   194 |    3272 |    5355     385    5355 |     770     385     770 |    0.1   12.6    2.7
128  |   194 |    3274 |    5347     384    5347 |     769     384     769 |    0.1   12.4    2.8
129  |   192 |    2276 |    5344     383    5344 |     765     383     765 |    0.2    9.7    2.4
130  |   194 |    3286 |    5378     385    5378 |     771     386     771 |    0.1   12.7    2.7
131  |   194 |    3266 |    5361     384    5361 |     769     384     769 |    0.1   13.0    2.7
132  |   194 |    2497 |    5374     385    5374 |     770     385     770 |    0.2   13.7    2.9
133  |   194 |    3285 |    5382     385    5382 |     770     385     770 |    0.1   13.2    2.8
134  |   194 |    2090 |    5329     383    5329 |     767     384     767 |    0.1   10.3    2.3
135  |   194 |    3269 |    5354     384    5354 |     767     384     767 |    0.2   12.9    2.8
136  |   194 |    3263 |    5362     384    5362 |     769     384     769 |    0.1   13.5    2.7
137  |   193 |    3265 |    5361     384    5361 |     769     384     769 |    0.1   12.4    2.8
138  |   193 |    3265 |    5362     385    5362 |     770     385     770 |    0.1   12.8    2.7
139  |   194 |    3235 |    4585     384    4585 |     767     384     767 |    0.2    9.4    2.4
140  |   191 |    2462 |    4574     383    4574 |     765     383     765 |    0.1    9.5    2.3
141  |   194 |    3265 |    5342     384    5342 |     768     384     768 |    0.2   12.6    2.7
142  |   194 |    2509 |    5386     386    5386 |     771     386     771 |    0.2    9.9    3.0
143  |   194 |    3285 |    5380     385    5380 |     771     385     771 |    0.2   13.4    2.7
144  |   194 |    3272 |    5360     385    5360 |     769     385     769 |    0.2   12.7    2.7
145  |   193 |    3255 |    5359     383    5359 |     767     383     767 |    0.1   12.8    2.8
146  |   194 |    3286 |    5375     385    5375 |     770     385     770 |    0.1   12.7    2.7
147  |   194 |    3275 |    5371     385    5371 |     770     385     770 |    0.1   13.1    2.8
148  |   194 |    3278 |    5372     385    5372 |     771     385     771 |    0.1   14.2    2.7
149  |   194 |    3273 |    5364     385    5364 |     771     385     771 |    0.2   12.2    2.7
150  |   194 |    3285 |    5376     385    5376 |     771     386     771 |    0.1   12.6    2.7
151  |   194 |    3281 |    5381     385    5381 |     771     385     771 |    0.1   12.8    2.7
152  |   194 |    2688 |    5378     385    5378 |     770     385     770 |    0.1   12.6    2.7
153  |   194 |    2468 |    5309     385    5309 |     771     385     771 |    0.1    9.7    2.3
154  |   194 |    3273 |    5370     385    5370 |     770     385     770 |    0.1   12.6    2.7
155  |   194 |    3285 |    5374     386    5374 |     772     386     772 |    0.1   12.6    2.8
156  |   194 |    3286 |    5373     386    5373 |     772     386     772 |    0.1   13.2    2.7
157  |   194 |    3275 |    5368     385    5368 |     770     385     770 |    0.1   12.7    2.7
158  |   194 |    2098 |    4587     384    4587 |     769     384     769 |    0.1    9.4    2.3
159  |   194 |    2510 |    5383     386    5383 |     771     386     771 |    0.1   10.3    3.3
160  |   194 |    2283 |    4584     384    4584 |     768     384     768 |    0.1    9.1    2.3
161  |   194 |    2484 |    5343     385    5343 |     770     385     770 |    0.1    9.5    2.4
162  |   194 |    3277 |    5361     384    5361 |     770     385     770 |    0.1   13.0    2.8
163  |   194 |    3285 |    5376     385    5376 |     770     385     770 |    0.2   12.7    2.7
164  |   194 |    3283 |    5372     385    5372 |     770     385     770 |    0.2   12.7    2.7
165  |   194 |    3279 |    5371     385    5371 |     771     385     771 |    0.1   13.6    2.8
166  |   194 |    3263 |    5354     384    5354 |     767     384     767 |    0.2   12.7    2.7
167  |   194 |    3287 |    5384     386    5384 |     771     386     771 |    0.2   13.5    2.8
168  |   194 |    3269 |    4611     384    4611 |     769     384     769 |    0.2    9.5    2.4
169  |   192 |    2258 |    4544     383    4544 |     766     383     766 |    0.2    9.2    2.3
170  |   194 |    3278 |    5370     385    5370 |     771     385     771 |    0.1   12.7    2.7
171  |   194 |    3274 |    5367     384    5367 |     769     384     769 |    0.1   12.6    2.8
172  |   194 |    3285 |    5378     385    5378 |     771     385     771 |    0.1   12.9    2.7
173  |   194 |    3273 |    5369     385    5369 |     770     385     770 |    0.1   12.8    2.7
174  |   193 |    3266 |    5363     384    5363 |     768     384     768 |    0.1   12.4    2.7
175  |   193 |    3262 |    5351     383    5351 |     767     383     767 |    0.1   12.9    2.8
176  |   193 |    3266 |    5358     385    5358 |     770     385     770 |    0.1   12.5    2.8
177  |   193 |    3255 |    5359     384    5359 |     769     384     769 |    0.1   12.5    2.8
178  |   193 |    3274 |    5366     385    5366 |     770     385     770 |    0.1   12.7    2.8
179  |   194 |    3259 |    5361     384    5361 |     768     384     768 |    0.1   12.6    2.7
180  |   194 |    3290 |    5371     386    5371 |     772     386     772 |    0.1   12.8    2.8
181  |   193 |    3266 |    5360     385    5360 |     770     385     770 |    0.2   12.3    2.7
182  |   194 |    2699 |    5363     387    5363 |     774     387     774 |    0.1   13.2    2.9
183  |   193 |    3261 |    5357     385    5357 |     769     385     769 |    0.2   14.5    3.1
184  |   193 |    3268 |    5367     384    5367 |     769     384     769 |    0.2   14.6    3.0
185  |   194 |    3283 |    5375     385    5375 |     771     386     771 |    0.2   13.8    2.9
186  |   193 |    3263 |    5362     384    5362 |     768     384     768 |    0.2   13.9    2.9
187  |   191 |    3234 |    4574     383    4574 |     765     383     765 |    0.2    9.9    2.4
188  |   194 |    2125 |    5382     386    5382 |     772     386     772 |    0.2   14.5    3.1
189  |   194 |    2094 |    4583     384    4583 |     769     385     769 |    0.2   10.1    2.4
190  |   190 |    3217 |    4558     383    4558 |     765     383     765 |    0.2    9.9    2.3
191  |   194 |    3266 |    5353     386    5353 |     773     386     773 |    0.2   13.9    3.0
192  |   192 |    2098 |    5355     383    5355 |     767     383     767 |    0.2   14.5    3.1
193  |   193 |    2477 |    4598     384    4598 |     767     384     767 |    0.2   10.2    2.4
194  |   193 |    3256 |    5349     383    5349 |     767     383     767 |    0.2   13.0    3.5
195  |   194 |    3283 |    5377     385    5377 |     771     385     771 |    0.3   13.4    2.9
196  |   194 |    3285 |    5375     386    5375 |     773     386     773 |    0.2   15.9    2.9
197  |   194 |    3273 |    5363     385    5363 |     769     385     769 |    0.3   14.0    2.9
198  |   194 |    3281 |    5373     385    5373 |     770     385     770 |    0.2   13.7    2.9
199  |   194 |    3277 |    5369     386    5369 |     772     386     772 |    0.2   13.6    3.2
200  |   194 |    3200 |    4547     384    4547 |     768     384     768 |    0.2   10.2    2.5
201  |   193 |    3259 |    5349     383    5349 |     767     383     767 |    0.2   16.6    2.8
202  |   194 |    2299 |    5364     385    5364 |     770     385     770 |    0.2   13.5    2.8
203  |   194 |    3279 |    5376     385    5376 |     770     385     770 |    0.2   14.8    4.1
204  |   194 |    3275 |    5372     385    5372 |     770     385     770 |    0.2   17.9    3.0
205  |   194 |    3255 |    5359     384    5359 |     768     384     768 |    0.2   13.7    2.9
206  |   194 |    3277 |    5367     384    5367 |     768     384     768 |    0.2   14.4    3.0
207  |   193 |    3270 |    5362     384    5362 |     768     384     768 |    0.2   13.8    2.9
208  |   194 |    3289 |    5375     386    5375 |     773     386     773 |    0.2   13.7    2.9
209  |   194 |    3271 |    5363     385    5363 |     771     385     771 |    0.2   13.7    2.9
210  |   194 |    2113 |    5376     385    5376 |     771     385     771 |    0.2   14.1    3.0
211  |   194 |    3262 |    5337     385    5337 |     770     385     770 |    0.2   13.1    2.8
212  |   192 |    3219 |    5302     386    5302 |     772     386     772 |    0.2   10.4    2.4
213  |   194 |    2117 |    4616     385    4616 |     770     385     770 |    0.2   11.2    3.1
214  |   194 |    3280 |    5371     384    5371 |     769     384     769 |    0.2   13.6    2.9
215  |   194 |    3283 |    5371     385    5371 |     771     385     771 |    0.2   13.1    2.8
216  |   194 |    2699 |    5367     386    5367 |     772     386     772 |    0.2   10.5    2.7
217  |   194 |    3281 |    5382     385    5382 |     770     385     770 |    0.2   14.1    3.0
218  |   193 |    3238 |    4588     383    4588 |     767     383     767 |    0.2    9.8    2.4
219  |   194 |    3262 |    5360     384    5360 |     768     384     768 |    0.2   13.2    2.9
220  |   194 |    3289 |    5383     385    5383 |     771     385     771 |    0.2   13.9    2.9
221  |   194 |    2290 |    5365     384    5365 |     768     384     768 |    0.2   13.8    3.0
222  |   194 |    3278 |    5366     385    5366 |     770     385     770 |    0.2   13.0    2.8
223  |   194 |    2289 |    5361     384    5361 |     768     384     768 |    0.1   12.6    2.7
224  |   192 |    3247 |    5339     383    5339 |     766     383     766 |    0.1   12.3    2.6
225  |   194 |    3273 |    5363     385    5363 |     770     385     770 |    0.1   12.2    2.7
226  |   194 |    3287 |    5363     386    5363 |     772     386     772 |    0.1   12.8    2.8
