=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 5, Norm bitsize: 254, Iterations: 500
GRAM prealloc (Phase 2 candidate B): ON
GRAM fp       (Phase 2 candidate C): OFF

Generating 500 random ideal lattice pairs (bitsize=254)...
Mode: alg2
  Set 1: 3983.10 ms
  Set 2: 4218.49 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   255 |    4303 |    7070     506    7070 |    1013     506    1013 |    0.2   24.4    0.9
1    |   255 |    4318 |    7083     507    7083 |    1015     507    1015 |    0.2   24.6    0.9
2    |   255 |    4302 |    6060     506    6060 |    1013     506    1013 |    0.2   17.6    0.8
3    |   255 |    4314 |    7082     508    7082 |    1016     508    1016 |    0.2   23.6    0.9
4    |   255 |    2788 |    7088     508    7088 |    1016     508    1016 |    0.2   24.1    0.9
5    |   255 |    4320 |    7093     507    7093 |    1015     507    1015 |    0.2   24.8    1.0
6    |   255 |    4318 |    7090     507    7090 |    1015     507    1015 |    0.2   23.9    1.0
7    |   255 |    2780 |    7077     507    7077 |    1014     507    1014 |    0.2   23.9    0.9
8    |   255 |    4297 |    7056     506    7056 |    1013     506    1013 |    0.2   23.2    0.9
9    |   255 |    4307 |    7075     506    7075 |    1012     506    1012 |    0.1   23.4    0.9
10   |   255 |    4314 |    7073     507    7073 |    1014     507    1014 |    0.2   23.6    0.9
11   |   255 |    4321 |    7091     508    7091 |    1016     508    1016 |    0.2   24.0    0.9
12   |   253 |    3272 |    6061     506    6061 |    1011     506    1011 |    0.2   17.0    0.8
13   |   255 |    4318 |    7090     508    7090 |    1016     508    1016 |    0.2   24.4    1.0
14   |   252 |    4271 |    6043     505    6043 |    1010     505    1010 |    0.2   16.5    0.8
15   |   254 |    3796 |    7077     507    7077 |    1014     507    1014 |    0.2   17.0    0.8
16   |   254 |    4305 |    7074     506    7074 |    1013     506    1013 |    0.1   23.8    0.9
17   |   255 |    4271 |    6044     507    6044 |    1014     507    1014 |    0.1   16.8    0.8
18   |   255 |    4320 |    7084     507    7084 |    1014     507    1014 |    0.2   23.9    0.9
19   |   253 |    4290 |    6059     506    6059 |    1011     506    1011 |    0.2   17.4    0.8
20   |   255 |    4323 |    7086     507    7086 |    1016     508    1016 |    0.2   23.2    1.0
21   |   255 |    4309 |    7074     506    7074 |    1013     506    1013 |    0.2   24.7    1.0
22   |   255 |    4313 |    7087     507    7087 |    1014     507    1014 |    0.2   23.7    1.0
23   |   252 |    4264 |    6037     506    6037 |    1012     506    1012 |    0.2   17.0    0.8
24   |   255 |    4308 |    7070     506    7070 |    1012     506    1012 |    0.2   23.1    1.0
25   |   255 |    4299 |    7067     506    7067 |    1012     506    1012 |    0.2   25.3    1.0
26   |   255 |    4314 |    7082     507    7082 |    1013     507    1013 |    0.2   23.3    0.9
27   |   255 |    4310 |    7081     507    7081 |    1013     507    1013 |    0.1   23.2    0.9
28   |   252 |    4246 |    6008     505    6008 |    1010     505    1010 |    0.1   17.0    0.8
29   |   255 |    3003 |    6013     506    6013 |    1013     506    1013 |    0.2   17.0    0.8
30   |   255 |    2783 |    7079     508    7079 |    1015     508    1015 |    0.2   22.9    0.9
31   |   255 |    4322 |    7095     508    7095 |    1015     508    1015 |    0.2   24.1    0.9
32   |   254 |    4301 |    7068     506    7068 |    1013     506    1013 |    0.2   24.0    1.0
33   |   254 |    3535 |    7065     507    7065 |    1014     507    1014 |    0.2   17.4    0.8
34   |   254 |    2773 |    7073     506    7073 |    1012     506    1012 |    0.2   23.9    0.9
35   |   254 |    4295 |    6069     506    6069 |    1012     506    1012 |    0.2   17.0    0.8
36   |   254 |    4270 |    6051     505    6051 |    1012     505    1012 |    0.2   18.5    1.2
37   |   255 |    4319 |    7086     507    7086 |    1015     507    1015 |    0.3   28.2    1.5
38   |   255 |    4299 |    7082     506    7082 |    1013     507    1013 |    0.3   26.0    0.9
39   |   254 |    4307 |    7080     506    7080 |    1013     506    1013 |    0.1   23.8    0.9
40   |   254 |    4297 |    7067     507    7067 |    1013     506    1013 |    0.2   24.0    0.9
41   |   254 |    4305 |    7072     507    7072 |    1014     507    1014 |    0.2   17.7    0.8
42   |   254 |    4258 |    6033     505    6033 |    1012     506    1012 |    0.2   17.4    0.8
43   |   255 |    4294 |    7051     506    7051 |    1012     506    1012 |    0.2   24.0    0.9
44   |   254 |    3280 |    7051     507    7051 |    1015     507    1015 |    0.2   17.7    0.8
45   |   255 |    4300 |    7040     505    7040 |    1014     505    1014 |    0.1   23.5    1.0
46   |   255 |    3547 |    7077     507    7077 |    1014     507    1014 |    0.2   17.5    0.8
47   |   254 |    4303 |    7080     507    7080 |    1013     507    1013 |    0.2   24.1    1.0
48   |   255 |    4323 |    7087     508    7087 |    1016     508    1016 |    0.2   24.0    0.9
49   |   255 |    4301 |    7084     507    7084 |    1015     507    1015 |    0.2   23.3    0.9
50   |   255 |    4303 |    7080     507    7080 |    1014     507    1014 |    0.2   23.4    0.9
51   |   255 |    4313 |    7080     506    7080 |    1013     506    1013 |    0.2   17.5    0.8
52   |   255 |    4309 |    7075     507    7075 |    1013     507    1013 |    0.2   23.1    0.9
53   |   255 |    3028 |    7080     507    7080 |    1014     507    1014 |    0.2   23.1    0.9
54   |   255 |    4325 |    7093     508    7093 |    1016     508    1016 |    0.2   24.0    0.9
55   |   255 |    4323 |    7089     508    7089 |    1016     508    1016 |    0.2   24.3    1.2
56   |   255 |    4278 |    6054     508    6054 |    1015     508    1015 |    0.2   16.6    0.8
57   |   254 |    4298 |    7062     506    7062 |    1012     506    1012 |    0.2   23.5    1.0
58   |   255 |    4308 |    7075     507    7075 |    1014     507    1014 |    0.2   23.5    0.9
59   |   255 |    3300 |    7091     508    7091 |    1016     508    1016 |    0.2   23.9    0.9
60   |   255 |    4303 |    7078     507    7078 |    1014     507    1014 |    0.2   24.5    1.0
61   |   255 |    4319 |    7077     509    7077 |    1018     509    1018 |    0.2   22.6    0.9
62   |   255 |    4315 |    7092     507    7092 |    1015     507    1015 |    0.2   18.2    0.8
63   |   255 |    4305 |    7084     507    7084 |    1014     507    1014 |    0.2   24.9    0.9
64   |   255 |    4323 |    7094     508    7094 |    1016     508    1016 |    0.2   25.2    1.0
65   |   255 |    4301 |    7061     507    7061 |    1017     507    1017 |    0.2   23.9    1.0
66   |   255 |    4312 |    7087     507    7087 |    1015     507    1015 |    0.2   24.3    1.0
67   |   254 |    4305 |    7082     507    7082 |    1014     507    1014 |    0.2   24.0    0.9
68   |   254 |    4299 |    7070     506    7070 |    1012     506    1012 |    0.2   23.9    1.0
69   |   255 |    4315 |    7087     508    7087 |    1016     508    1016 |    0.2   23.4    0.9
70   |   255 |    4310 |    7067     507    7067 |    1014     507    1014 |    0.2   23.9    0.9
71   |   254 |    4310 |    7084     506    7084 |    1013     507    1013 |    0.2   23.8    0.9
72   |   255 |    4327 |    7090     508    7090 |    1017     508    1017 |    0.2   23.3    1.0
73   |   255 |    4309 |    7080     507    7080 |    1015     507    1015 |    0.1   23.7    0.9
74   |   255 |    4316 |    6078     508    6078 |    1015     508    1015 |    0.1   17.7    0.8
75   |   252 |    2754 |    6032     505    6032 |    1010     505    1010 |    0.1   17.2    0.8
76   |   255 |    4320 |    7082     507    7082 |    1015     508    1015 |    0.1   23.4    0.9
77   |   255 |    3539 |    7067     508    7067 |    1016     508    1016 |    0.2   17.3    0.8
78   |   255 |    4313 |    7070     509    7070 |    1019     509    1019 |    0.2   22.9    0.9
79   |   255 |    3029 |    7086     508    7086 |    1014     507    1014 |    0.2   23.6    0.9
80   |   255 |    3029 |    7082     507    7082 |    1016     507    1016 |    0.1   22.9    0.9
81   |   255 |    4328 |    7098     508    7098 |    1017     508    1017 |    0.1   24.4    1.0
82   |   255 |    4324 |    7099     508    7099 |    1016     508    1016 |    0.1   22.9    0.9
83   |   255 |    4328 |    7098     508    7098 |    1016     508    1016 |    0.2   23.9    0.9
84   |   255 |    4315 |    7077     507    7077 |    1014     507    1014 |    0.1   23.5    0.9
85   |   255 |    4315 |    7085     508    7085 |    1016     508    1016 |    0.2   22.9    0.9
86   |   254 |    2780 |    7078     507    7078 |    1014     507    1014 |    0.2   22.4    0.9
87   |   255 |    4216 |    5995     506    5995 |    1013     506    1013 |    0.2   17.1    0.8
88   |   254 |    4289 |    6066     506    6066 |    1012     506    1012 |    0.1   16.6    0.8
89   |   255 |    4316 |    7078     507    7078 |    1015     507    1015 |    0.1   23.7    0.9
90   |   255 |    4309 |    7071     506    7071 |    1013     506    1013 |    0.1   22.1    0.9
91   |   254 |    4295 |    7061     505    7061 |    1012     505    1012 |    0.1   23.3    0.9
92   |   255 |    4324 |    7087     508    7087 |    1016     508    1016 |    0.1   23.7    0.9
93   |   255 |    4309 |    7080     506    7080 |    1014     506    1014 |    0.2   22.5    0.9
94   |   255 |    4325 |    7092     508    7092 |    1016     508    1016 |    0.1   23.1    0.9
95   |   255 |    4323 |    7084     508    7084 |    1017     508    1017 |    0.2   23.4    0.9
96   |   255 |    2781 |    7078     507    7078 |    1015     507    1015 |    0.2   23.8    0.9
97   |   255 |    3299 |    7090     509    7090 |    1017     509    1017 |    0.1   23.0    0.9
98   |   253 |    4280 |    7052     506    7052 |    1011     506    1011 |    0.1   23.3    0.9
99   |   255 |    4249 |    6024     506    6024 |    1013     506    1013 |    0.2   16.9    0.8
100  |   255 |    2757 |    6034     506    6034 |    1013     506    1013 |    0.1   16.9    0.8
101  |   255 |    3541 |    7088     507    7088 |    1014     507    1014 |    0.2   17.5    0.8
102  |   255 |    4308 |    7087     507    7087 |    1014     507    1014 |    0.2   23.4    0.9
103  |   254 |    4302 |    7060     507    7060 |    1016     508    1016 |    0.2   17.9    0.9
104  |   254 |    4287 |    6062     506    6062 |    1011     506    1011 |    0.2   17.2    0.8
105  |   255 |    4318 |    7090     507    7090 |    1014     507    1014 |    0.2   23.1    0.9
106  |   255 |    4308 |    7089     507    7089 |    1014     507    1014 |    0.2   23.8    0.9
107  |   255 |    4298 |    7076     507    7076 |    1015     507    1015 |    0.2   23.7    0.9
108  |   255 |    4322 |    7085     508    7085 |    1016     508    1016 |    0.1   22.7    0.9
109  |   255 |    2773 |    6059     506    6059 |    1013     507    1013 |    0.1   17.3    0.8
110  |   255 |    4310 |    7083     507    7083 |    1015     507    1015 |    0.2   22.7    0.9
111  |   255 |    4313 |    7080     508    7080 |    1018     508    1018 |    0.2   23.8    0.9
112  |   255 |    4293 |    7032     509    7032 |    1019     509    1019 |    0.2   22.7    0.9
113  |   251 |    3487 |    6013     505    6013 |    1010     505    1010 |    0.2   17.1    0.8
114  |   255 |    3035 |    7091     508    7091 |    1015     508    1015 |    0.2   23.9    0.9
115  |   255 |    4313 |    7085     507    7085 |    1015     507    1015 |    0.2   23.3    0.9
116  |   255 |    4309 |    7075     507    7075 |    1013     507    1013 |    0.1   23.5    0.9
117  |   255 |    4314 |    7086     507    7086 |    1015     507    1015 |    0.2   22.9    1.0
118  |   255 |    4312 |    7083     507    7083 |    1014     507    1014 |    0.2   23.7    1.0
119  |   255 |    4311 |    7075     506    7075 |    1013     506    1013 |    0.2   24.8    0.9
120  |   255 |    3815 |    7098     508    7098 |    1015     508    1015 |    0.2   17.9    0.8
121  |   255 |    4311 |    7087     507    7087 |    1015     507    1015 |    0.2   23.8    1.0
122  |   255 |    4294 |    6067     506    6067 |    1012     506    1012 |    0.2   18.3    0.8
123  |   254 |    4303 |    7078     507    7078 |    1013     507    1013 |    0.2   23.7    0.9
124  |   255 |    2779 |    7079     507    7079 |    1015     507    1015 |    0.2   23.1    0.9
125  |   255 |    4298 |    6075     507    6075 |    1013     506    1013 |    0.2   17.3    0.8
126  |   255 |    2786 |    6082     507    6082 |    1014     507    1014 |    0.2   17.4    0.8
127  |   255 |    4306 |    7064     507    7064 |    1016     507    1016 |    0.2   18.0    0.8
128  |   255 |    4308 |    7067     506    7067 |    1013     506    1013 |    0.2   24.4    0.9
129  |   255 |    2778 |    7082     507    7082 |    1014     507    1014 |    0.1   23.3    0.9
130  |   255 |    3277 |    6063     507    6063 |    1013     507    1013 |    0.2   17.1    0.8
131  |   255 |    4305 |    7080     507    7080 |    1015     507    1015 |    0.2   23.9    0.9
132  |   255 |    4322 |    7098     508    7098 |    1015     508    1015 |    0.2   23.7    1.0
133  |   254 |    3008 |    6044     506    6044 |    1011     506    1011 |    0.2   17.1    0.8
134  |   255 |    4313 |    7079     507    7079 |    1015     507    1015 |    0.2   24.6    0.9
135  |   255 |    4317 |    7079     507    7079 |    1014     507    1014 |    0.2   23.4    0.9
136  |   255 |    4284 |    6060     507    6060 |    1013     507    1013 |    0.2   17.0    0.8
137  |   254 |    4284 |    7045     506    7045 |    1013     506    1013 |    0.2   18.0    0.8
138  |   255 |    3299 |    7088     507    7088 |    1014     507    1014 |    0.2   23.5    0.9
139  |   255 |    4327 |    7099     508    7099 |    1015     508    1015 |    0.2   26.5    0.9
140  |   255 |    4307 |    7069     506    7069 |    1012     506    1012 |    0.2   22.8    0.9
141  |   255 |    3296 |    7082     507    7082 |    1015     507    1015 |    0.2   17.6    0.8
142  |   255 |    4310 |    7063     507    7063 |    1014     507    1014 |    0.2   23.3    0.9
143  |   255 |    4320 |    7091     507    7091 |    1015     508    1015 |    0.2   24.4    1.0
144  |   255 |    4309 |    7069     507    7069 |    1014     507    1014 |    0.1   23.4    0.9
145  |   255 |    4303 |    7082     507    7082 |    1015     507    1015 |    0.2   23.8    1.0
146  |   255 |    4309 |    7085     507    7085 |    1014     507    1014 |    0.1   23.9    0.9
147  |   255 |    4315 |    7088     508    7088 |    1015     508    1015 |    0.2   25.0    1.0
148  |   255 |    4325 |    7091     508    7091 |    1016     508    1016 |    0.2   25.1    1.0
149  |   255 |    4314 |    7090     507    7090 |    1015     508    1015 |    0.2   23.2    0.9
150  |   255 |    4324 |    7099     508    7099 |    1016     508    1016 |    0.2   25.9    1.1
151  |   255 |    4329 |    7082     510    7082 |    1019     510    1019 |    0.2   24.4    0.9
152  |   255 |    4316 |    7090     507    7090 |    1015     507    1015 |    0.2   23.8    0.9
153  |   255 |    4320 |    7089     507    7089 |    1015     507    1015 |    0.2   23.6    0.9
154  |   255 |    4323 |    7096     507    7096 |    1015     507    1015 |    0.2   24.3    1.0
155  |   255 |    4322 |    7086     508    7086 |    1015     508    1015 |    0.2   23.7    0.9
156  |   255 |    4282 |    6058     507    6058 |    1013     507    1013 |    0.1   17.9    0.8
157  |   254 |    4299 |    7057     506    7057 |    1013     506    1013 |    0.2   24.2    1.0
158  |   254 |    4305 |    7066     507    7066 |    1013     507    1013 |    0.2   24.2    0.9
159  |   255 |    3532 |    7086     507    7086 |    1014     507    1014 |    0.2   23.1    0.9
160  |   255 |    4318 |    7076     509    7076 |    1019     509    1019 |    0.2   23.3    0.9
161  |   255 |    4285 |    6065     507    6065 |    1014     507    1014 |    0.2   18.0    0.8
162  |   255 |    2776 |    6073     508    6073 |    1015     508    1015 |    0.2   17.3    0.8
163  |   255 |    3260 |    6067     506    6067 |    1013     506    1013 |    0.2   17.5    0.8
164  |   255 |    4314 |    7073     508    7073 |    1015     508    1015 |    0.2   22.8    0.9
165  |   254 |    4303 |    7067     506    7067 |    1014     506    1014 |    0.2   23.2    0.9
166  |   255 |    4288 |    6062     507    6062 |    1014     507    1014 |    0.2   17.1    0.8
167  |   255 |    4314 |    7083     507    7083 |    1014     507    1014 |    0.2   23.3    0.9
168  |   254 |    4292 |    6067     506    6067 |    1012     506    1012 |    0.2   16.6    0.8
169  |   254 |    3286 |    7070     507    7070 |    1014     507    1014 |    0.2   17.2    0.8
170  |   255 |    4295 |    7077     506    7077 |    1013     506    1013 |    0.2   17.0    0.8
171  |   255 |    4318 |    7079     508    7079 |    1017     508    1017 |    0.2   23.3    0.9
172  |   254 |    4297 |    7070     506    7070 |    1012     506    1012 |    0.2   23.1    0.9
173  |   254 |    3268 |    7022     507    7022 |    1014     507    1014 |    0.2   17.3    0.8
174  |   255 |    4297 |    7055     506    7055 |    1012     506    1012 |    0.2   23.8    0.9
175  |   255 |    4300 |    7083     506    7083 |    1014     507    1014 |    0.1   23.0    0.9
176  |   255 |    4314 |    7085     507    7085 |    1015     507    1015 |    0.1   23.1    0.9
177  |   255 |    4312 |    7076     508    7076 |    1015     507    1015 |    0.1   22.7    0.9
178  |   255 |    4320 |    7090     507    7090 |    1015     507    1015 |    0.1   23.3    0.9
179  |   255 |    4296 |    6074     506    6074 |    1013     507    1013 |    0.1   16.7    0.7
180  |   255 |    4306 |    7072     506    7072 |    1013     506    1013 |    0.1   23.3    0.9
181  |   254 |    4300 |    7077     506    7077 |    1014     506    1014 |    0.1   23.3    0.9
182  |   255 |    4302 |    7062     506    7062 |    1013     506    1013 |    0.1   23.4    0.9
183  |   255 |    4319 |    7084     507    7084 |    1015     507    1015 |    0.1   23.1    0.9
