=== L3 alg2 10k ===
=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 3, Norm bitsize: 193, Iterations: 10000

Generating 10000 random ideal lattice pairs (bitsize=193)...
Mode: alg2
  Set 1: 44219.51 ms
  Set 2: 43860.51 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   194 |    3270 |    5340     384    5340 |     770     384     770 |    1.9   13.9    0.9
1    |   194 |    2511 |    5380     385    5380 |     771     385     771 |    0.3   15.9    0.8
2    |   194 |    3277 |    5353     385    5353 |     770     385     770 |    0.2   12.6    0.7
3    |   194 |    3279 |    5369     385    5369 |     769     385     769 |    0.2   12.8    0.7
4    |   192 |    3255 |    5357     383    5357 |     767     383     767 |    0.1   12.7    0.7
5    |   192 |    3249 |    5351     383    5351 |     766     383     766 |    0.2   13.0    0.7
6    |   194 |    2105 |    5365     384    5365 |     769     384     769 |    0.2   12.9    0.7
7    |   194 |    3258 |    5344     384    5344 |     767     384     767 |    0.1   13.0    0.7
8    |   193 |    3233 |    4580     383    4580 |     766     383     766 |    0.1   10.2    0.6
9    |   194 |    3280 |    5364     385    5364 |     771     385     771 |    0.2   12.9    0.7
10   |   194 |    3280 |    5356     385    5356 |     772     385     772 |    0.2   12.7    0.7
11   |   194 |    3273 |    5363     385    5363 |     771     385     771 |    0.2   12.8    0.7
12   |   194 |    3285 |    5379     386    5379 |     772     386     772 |    0.2   12.7    0.8
13   |   194 |    3273 |    5370     385    5370 |     770     385     770 |    0.2   13.6    0.7
14   |   194 |    3289 |    5371     386    5371 |     772     386     772 |    0.2   13.4    0.7
15   |   191 |    2480 |    5288     387    5288 |     773     387     773 |    0.2   10.0    0.6
16   |   194 |    3278 |    5370     384    5370 |     769     384     769 |    0.2   13.5    0.7
17   |   194 |    3274 |    5371     385    5371 |     770     385     770 |    0.2   13.5    0.7
18   |   193 |    3215 |    5307     385    5307 |     769     385     769 |    0.2   10.2    0.6
19   |   191 |    3227 |    4569     383    4569 |     765     383     765 |    0.2   10.2    0.6
20   |   193 |    3260 |    5361     384    5361 |     768     384     768 |    0.2   13.6    0.7
21   |   194 |    3280 |    5357     386    5357 |     772     386     772 |    0.2   13.7    0.7
22   |   194 |    3270 |    5369     384    5369 |     769     385     769 |    0.2   13.0    0.7
23   |   194 |    3289 |    5358     388    5358 |     775     388     775 |    0.2   12.8    0.7
24   |   191 |    2046 |    4495     383    4495 |     765     383     765 |    0.1    9.5    0.6
25   |   194 |    3274 |    5371     384    5371 |     769     385     769 |    0.2   12.7    0.8
26   |   193 |    3233 |    4581     383    4581 |     767     383     767 |    0.2   10.3    0.6
27   |   193 |    3262 |    5349     384    5349 |     768     384     768 |    0.2   13.0    0.7
28   |   193 |    3270 |    5362     384    5362 |     769     384     769 |    0.2    9.6    0.6
29   |   194 |    3280 |    5375     385    5375 |     770     385     770 |    0.2   13.0    0.7
30   |   194 |    2887 |    5370     385    5370 |     772     386     772 |    0.2   10.2    0.6
31   |   194 |    3261 |    5360     384    5360 |     769     384     769 |    0.2   13.4    0.7
32   |   192 |    3253 |    5353     383    5353 |     767     383     767 |    0.2   12.3    0.7
33   |   194 |    2687 |    5372     385    5372 |     770     385     770 |    0.2   13.1    0.7
34   |   194 |    3283 |    5358     386    5358 |     772     386     772 |    0.2   13.6    0.7
35   |   194 |    3282 |    5372     386    5372 |     771     386     771 |    0.2   13.1    0.7
36   |   194 |    3274 |    5358     385    5358 |     771     385     771 |    0.2   13.5    0.7
37   |   194 |    3286 |    5374     386    5374 |     771     386     771 |    0.2   12.9    0.7
38   |   194 |    3252 |    4598     384    4598 |     768     384     768 |    0.2   10.3    0.6
39   |   194 |    2650 |    4583     384    4583 |     768     384     768 |    0.1    9.8    0.7
40   |   193 |    3272 |    5366     385    5366 |     769     385     769 |    0.2   13.4    0.7
41   |   193 |    3269 |    5362     384    5362 |     769     384     769 |    0.2   13.7    0.7
42   |   194 |    3272 |    5366     384    5366 |     769     384     769 |    0.2   13.5    0.7
43   |   194 |    3285 |    5369     385    5369 |     771     386     771 |    0.2   14.2    0.8
44   |   194 |    3270 |    5349     385    5349 |     769     385     769 |    0.2   13.3    0.7
45   |   192 |    3242 |    4585     383    4585 |     766     383     766 |    0.1    9.5    0.6
46   |   194 |    3265 |    5365     385    5365 |     770     385     770 |    0.2   12.9    0.7
47   |   194 |    3262 |    4605     385    4605 |     770     385     770 |    0.2    9.7    0.6
48   |   194 |    3287 |    5383     385    5383 |     771     386     771 |    0.2   13.1    0.7
49   |   194 |    3282 |    5356     385    5356 |     770     385     770 |    0.2   10.5    0.7
50   |   194 |    3280 |    5368     386    5368 |     772     386     772 |    0.2   13.1    0.7
51   |   194 |    3253 |    4600     384    4600 |     768     384     768 |    0.1    9.7    0.7
52   |   194 |    3262 |    5354     384    5354 |     767     384     767 |    0.2   12.8    0.7
53   |   194 |    3254 |    5359     384    5359 |     768     384     768 |    0.1   12.6    0.7
54   |   194 |    3281 |    5370     385    5370 |     770     385     770 |    0.2   12.7    0.7
55   |   194 |    3278 |    5373     385    5373 |     769     385     769 |    0.2   13.2    0.7
56   |   194 |    3271 |    5358     384    5358 |     768     384     768 |    0.2   13.6    0.7
57   |   193 |    3231 |    4579     384    4579 |     767     384     767 |    0.2   10.0    0.6
58   |   194 |    3275 |    5370     385    5370 |     770     385     770 |    0.3   13.2    0.7
59   |   194 |    3282 |    5367     385    5367 |     770     385     770 |    0.2   13.4    0.7
60   |   194 |    3269 |    5359     385    5359 |     770     385     770 |    0.2   13.5    0.7
61   |   194 |    3278 |    5367     385    5367 |     770     385     770 |    0.2   12.9    0.7
62   |   193 |    3257 |    5359     384    5359 |     768     384     768 |    0.2   12.7    0.7
63   |   194 |    3274 |    5363     385    5363 |     770     385     770 |    0.2   13.8    0.7
64   |   194 |    3276 |    5371     384    5371 |     769     384     769 |    0.2   13.0    0.7
65   |   194 |    3270 |    5361     384    5361 |     768     384     768 |    0.2   14.0    0.9
66   |   194 |    3274 |    5369     384    5369 |     768     384     768 |    0.3   15.6    0.7
67   |   193 |    3263 |    5363     384    5363 |     767     384     767 |    0.2   13.4    0.7
68   |   194 |    3282 |    5375     386    5375 |     772     386     772 |    0.2   13.0    0.7
69   |   194 |    2109 |    5369     385    5369 |     770     385     770 |    0.2   13.4    0.7
70   |   194 |    3273 |    5372     385    5372 |     770     385     770 |    0.2   12.9    1.2
71   |   194 |    3276 |    5359     385    5359 |     771     385     771 |    0.2   13.5    0.7
72   |   194 |    3284 |    5378     385    5378 |     770     385     770 |    0.2   13.7    0.7
73   |   194 |    3275 |    5362     385    5362 |     770     385     770 |    0.2   13.2    0.7
74   |   193 |    2101 |    5356     383    5356 |     768     384     768 |    0.2   13.0    0.7
75   |   191 |    3221 |    4563     383    4563 |     765     383     765 |    0.1    9.6    0.6
76   |   194 |    3267 |    5362     384    5362 |     768     384     768 |    0.2   13.2    0.7
77   |   194 |    3264 |    5356     383    5356 |     767     383     767 |    0.2   13.4    0.8
78   |   194 |    3280 |    5373     385    5373 |     770     385     770 |    0.2   13.3    0.7
79   |   193 |    3239 |    4585     384    4585 |     767     384     767 |    0.2    9.8    0.6
80   |   193 |    3264 |    5358     384    5358 |     767     384     767 |    0.2   13.4    0.7
81   |   194 |    3289 |    5378     385    5378 |     771     385     771 |    0.2   12.9    0.7
82   |   194 |    3259 |    5363     384    5363 |     768     384     768 |    0.2   10.4    0.7
83   |   194 |    3291 |    5382     386    5382 |     771     386     771 |    0.2   13.7    0.7
84   |   194 |    3261 |    5363     384    5363 |     769     384     769 |    0.2   13.2    0.7
85   |   194 |    3288 |    5381     385    5381 |     770     385     770 |    0.2   12.8    0.7
86   |   194 |    2309 |    5379     386    5379 |     772     386     772 |    0.2   13.5    0.7
87   |   194 |    3279 |    5380     385    5380 |     770     385     770 |    0.2   13.4    0.7
88   |   194 |    3266 |    5362     385    5362 |     770     385     770 |    0.2   13.2    0.7
89   |   193 |    3256 |    5349     383    5349 |     767     383     767 |    0.1   12.6    0.7
90   |   194 |    3273 |    5370     384    5370 |     769     384     769 |    0.2   13.1    0.7
91   |   194 |    3260 |    5339     384    5339 |     768     384     768 |    0.1   12.6    0.7
92   |   194 |    2105 |    4603     384    4603 |     768     384     768 |    0.1    9.5    0.6
93   |   194 |    2295 |    5367     385    5367 |     771     385     771 |    0.2   12.8    0.7
94   |   194 |    3283 |    5367     386    5367 |     772     386     772 |    0.2   13.6    0.7
95   |   194 |    3262 |    5360     385    5360 |     771     385     771 |    0.2   13.1    0.7
96   |   194 |    3267 |    5343     385    5343 |     771     385     771 |    0.2   12.7    0.7
97   |   194 |    3263 |    5366     384    5366 |     769     384     769 |    0.2   12.8    0.7
98   |   193 |    2092 |    4580     384    4580 |     767     384     767 |    0.2    9.4    0.6
99   |   194 |    3278 |    5356     385    5356 |     771     385     771 |    0.2   12.7    0.7
100  |   194 |    3250 |    4599     384    4599 |     768     384     768 |    0.1    9.8    0.6
101  |   194 |    3278 |    5377     385    5377 |     770     385     770 |    0.2   13.5    0.7
102  |   194 |    3282 |    5379     385    5379 |     770     385     770 |    0.2   13.0    0.7
103  |   193 |    3264 |    5362     385    5362 |     769     385     769 |    0.2   13.3    0.7
104  |   194 |    3286 |    5378     385    5378 |     771     385     771 |    0.2   14.2    0.8
105  |   193 |    3255 |    5359     384    5359 |     768     384     768 |    0.2   13.3    0.8
106  |   194 |    3277 |    5369     385    5369 |     770     385     770 |    0.2   13.0    1.0
107  |   194 |    2694 |    5371     385    5371 |     770     385     770 |    0.2    9.8    0.6
108  |   194 |    2116 |    5363     385    5363 |     771     385     771 |    0.2   10.0    0.6
109  |   194 |    3272 |    5367     385    5367 |     769     385     769 |    0.2   13.8    0.7
110  |   194 |    3280 |    5369     387    5369 |     773     387     773 |    0.2   12.9    0.7
111  |   194 |    3283 |    4615     385    4615 |     770     385     770 |    0.2    9.8    0.7
112  |   194 |    3283 |    5378     386    5378 |     772     386     772 |    0.2   12.9    0.7
113  |   193 |    3272 |    5369     385    5369 |     770     385     770 |    0.2   13.3    0.7
114  |   194 |    3261 |    5351     384    5351 |     767     384     767 |    0.2   14.8    0.7
115  |   193 |    3269 |    5366     385    5366 |     770     385     770 |    0.2   13.5    0.7
116  |   191 |    3225 |    4573     383    4573 |     765     383     765 |    0.1    9.9    0.6
117  |   194 |    3277 |    5369     384    5369 |     769     384     769 |    0.2   13.3    0.7
118  |   192 |    3245 |    5341     383    5341 |     766     383     766 |    0.1   13.5    0.7
119  |   193 |    3246 |    5311     385    5311 |     771     385     771 |    0.2    9.6    0.6
120  |   194 |    3278 |    5363     384    5363 |     769     384     769 |    0.2   13.3    0.7
121  |   194 |    3279 |    5368     384    5368 |     769     384     769 |    0.2   12.5    0.7
122  |   194 |    3279 |    5373     385    5373 |     770     385     770 |    0.2   13.2    0.7
123  |   194 |    3281 |    5378     385    5378 |     770     385     770 |    0.2   14.1    0.7
124  |   194 |    3284 |    5372     386    5372 |     772     386     772 |    0.2   13.7    0.7
125  |   194 |    3280 |    5367     385    5367 |     771     385     771 |    0.2   13.4    0.7
126  |   194 |    3261 |    5363     384    5363 |     769     384     769 |    0.2   13.1    0.7
127  |   194 |    3279 |    5378     385    5378 |     770     385     770 |    0.2   13.1    0.7
128  |   194 |    3250 |    5363     384    5363 |     768     384     768 |    0.2   12.9    0.8
129  |   194 |    3271 |    5358     384    5358 |     769     384     769 |    0.2   13.3    0.7
130  |   194 |    3279 |    5370     385    5370 |     769     385     769 |    0.2   13.0    0.7
131  |   194 |    2104 |    5363     385    5363 |     770     385     770 |    0.1   12.7    0.7
132  |   194 |    3291 |    5382     386    5382 |     772     386     772 |    0.3   13.4    0.7
133  |   194 |    3266 |    5359     384    5359 |     767     384     767 |    0.2   13.3    0.7
134  |   194 |    3258 |    5363     384    5363 |     768     384     768 |    0.2   13.9    0.7
135  |   194 |    3283 |    5379     385    5379 |     771     385     771 |    0.2   13.3    0.7
136  |   194 |    3283 |    5373     385    5373 |     770     385     770 |    0.2   13.3    0.7
137  |   194 |    3260 |    5365     385    5365 |     769     385     769 |    0.2   12.8    0.7
138  |   193 |    3264 |    5355     384    5355 |     768     384     768 |    0.2   13.1    1.0
139  |   193 |    3269 |    5363     384    5363 |     769     384     769 |    0.2   12.7    0.7
140  |   194 |    3255 |    5351     386    5351 |     772     386     772 |    0.2    9.6    0.6
141  |   193 |    3259 |    5339     386    5339 |     772     385     772 |    0.2    9.8    0.6
142  |   193 |    2390 |    4476     384    4476 |     767     384     767 |    0.2    9.0    0.6
143  |   193 |    3270 |    5352     383    5352 |     770     385     770 |    0.2   13.1    0.7
144  |   194 |    3277 |    5367     384    5367 |     768     384     768 |    0.2   13.3    0.7
145  |   194 |    3238 |    5295     386    5295 |     772     386     772 |    0.2   12.1    0.7
146  |   194 |    2512 |    5358     386    5358 |     772     386     772 |    0.2   11.0    0.6
147  |   191 |    3226 |    5311     385    5311 |     769     385     769 |    0.2    9.9    0.6
148  |   194 |    3281 |    5368     386    5368 |     772     386     772 |    0.2   12.8    0.7
149  |   194 |    3282 |    5375     385    5375 |     770     385     770 |    0.2   13.6    0.7
150  |   194 |    3275 |    5368     385    5368 |     771     385     771 |    0.2   12.7    0.7
151  |   194 |    3289 |    5371     386    5371 |     773     386     773 |    0.2   12.8    0.7
152  |   194 |    3279 |    5370     385    5370 |     770     385     770 |    0.2   13.3    0.7
153  |   193 |    2499 |    5368     385    5368 |     769     385     769 |    0.2    9.9    0.6
154  |   194 |    3272 |    5364     384    5364 |     769     384     769 |    0.2   13.5    0.7
155  |   194 |    3263 |    5354     384    5354 |     768     384     768 |    0.3   13.3    0.7
156  |   194 |    3288 |    5379     385    5379 |     771     385     771 |    0.2   13.1    0.7
157  |   194 |    2873 |    5346     384    5346 |     767     384     767 |    0.1   10.0    0.6
158  |   194 |    3279 |    5380     385    5380 |     770     385     770 |    0.2   13.0    0.7
159  |   194 |    2506 |    5378     385    5378 |     770     385     770 |    0.2   13.6    0.7
160  |   194 |    3274 |    5361     384    5361 |     769     384     769 |    0.2   13.5    0.7
161  |   194 |    2696 |    5380     385    5380 |     770     385     770 |    0.2   12.9    0.8
162  |   194 |    3280 |    5372     385    5372 |     770     385     770 |    0.2   13.0    0.7
163  |   193 |    3271 |    5366     384    5366 |     769     384     769 |    0.2   13.1    0.7
164  |   193 |    3254 |    5359     384    5359 |     768     384     768 |    0.2   12.3    0.7
165  |   194 |    3283 |    5376     385    5376 |     770     385     770 |    0.2   12.9    0.7
166  |   193 |    3252 |    5337     383    5337 |     767     383     767 |    0.1   11.7    0.6
167  |   193 |    3259 |    5349     383    5349 |     767     383     767 |    0.1   13.3    0.7
168  |   194 |    3287 |    5379     386    5379 |     771     386     771 |    0.2   12.9    0.7
169  |   194 |    3249 |    4598     384    4598 |     768     384     768 |    0.1    9.4    0.6
170  |   194 |    3292 |    5378     386    5378 |     772     386     772 |    0.2   13.2    0.7
171  |   194 |    3247 |    5326     384    5326 |     767     384     767 |    0.2   11.9    0.8
172  |   193 |    3276 |    5358     385    5358 |     771     385     771 |    0.3   14.3    0.7
173  |   194 |    2120 |    5371     385    5371 |     770     385     770 |    0.2   10.1    0.6
174  |   194 |    3279 |    5372     385    5372 |     770     385     770 |    0.2   12.8    0.7
175  |   193 |    3251 |    5331     383    5331 |     767     383     767 |    0.2   12.3    0.7
176  |   192 |    3247 |    5347     383    5347 |     766     383     766 |    0.2   12.8    0.9
177  |   194 |    3281 |    5377     385    5377 |     770     385     770 |    0.3   12.9    0.7
178  |   194 |    3287 |    5378     386    5378 |     771     386     771 |    0.2   13.2    0.7
179  |   194 |    3271 |    5380     385    5380 |     770     385     770 |    0.2   13.5    0.7
180  |   194 |    3264 |    5371     384    5371 |     769     384     769 |    0.2   12.9    0.7
181  |   194 |    3271 |    5357     385    5357 |     770     385     770 |    0.2   13.6    0.7
182  |   193 |    3266 |    5369     384    5369 |     768     384     768 |    0.2   13.1    0.7
183  |   194 |    3289 |    5377     386    5377 |     772     386     772 |    0.2   13.8    0.7
184  |   194 |    3230 |    4579     384    4579 |     767     384     767 |    0.2    9.9    0.6
185  |   194 |    3279 |    5369     385    5369 |     770     385     770 |    0.3   12.9    0.8
186  |   194 |    3275 |    5365     384    5365 |     769     384     769 |    0.2   12.9    0.7
187  |   193 |    3258 |    5351     383    5351 |     768     383     768 |    0.1   13.2    0.7
188  |   194 |    2112 |    5365     385    5365 |     771     385     771 |    0.2   13.9    0.7
189  |   194 |    2282 |    4592     384    4592 |     768     384     768 |    0.1   10.0    0.6
190  |   194 |    3282 |    5367     386    5367 |     773     386     773 |    0.2   13.6    0.7
191  |   194 |    3272 |    5349     384    5349 |     769     384     769 |    0.2   13.1    0.7
192  |   194 |    2102 |    4596     384    4596 |     768     384     768 |    0.1   10.2    0.8
193  |   194 |    3276 |    5373     385    5373 |     770     385     770 |    0.3   12.6    0.7
194  |   193 |    3257 |    5350     384    5350 |     767     384     767 |    0.1   10.2    0.6
195  |   192 |    3249 |    5340     383    5340 |     766     383     766 |    0.2   12.8    0.7
196  |   194 |    3276 |    5376     385    5376 |     770     385     770 |    0.2   14.3    0.7
197  |   193 |    3258 |    4603     384    4603 |     768     384     768 |    0.2    9.9    0.6
198  |   192 |    3247 |    4592     383    4592 |     766     383     766 |    0.2   10.1    0.6
199  |   194 |    3272 |    5365     384    5365 |     768     384     768 |    0.2   12.6    0.7
200  |   194 |    2104 |    5364     384    5364 |     769     384     769 |    0.2   13.6    0.7
201  |   194 |    2693 |    5370     384    5370 |     769     384     769 |    0.2   10.6    0.7
