=== L5_alg2_1000_baseline ===
=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 5, Norm bitsize: 254, Iterations: 1000
GRAM prealloc (Phase 2 candidate B): OFF

Generating 1000 random ideal lattice pairs (bitsize=254)...
Mode: alg2
  Set 1: 8383.42 ms
  Set 2: 8247.00 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   254 |    3004 |    6032     506    6032 |    1011     505    1011 |    0.2   16.7    0.8
1    |   255 |    3012 |    6067     506    6067 |    1012     506    1012 |    0.1   16.1    0.8
2    |   255 |    4313 |    7069     508    7069 |    1015     507    1015 |    0.1   23.7    0.9
3    |   255 |    4306 |    7081     507    7081 |    1014     507    1014 |    0.1   22.4    0.9
4    |   255 |    4284 |    7060     508    7060 |    1016     508    1016 |    0.2   17.5    0.8
5    |   254 |    4286 |    7042     506    7042 |    1015     506    1015 |    0.2   22.1    0.9
6    |   255 |    4306 |    7076     507    7076 |    1015     507    1015 |    0.2   22.6    0.9
7    |   255 |    3030 |    7078     507    7078 |    1014     507    1014 |    0.1   23.3    0.9
8    |   253 |    3244 |    6022     506    6022 |    1011     505    1011 |    0.1   17.5    0.8
9    |   254 |    4306 |    7070     507    7070 |    1013     507    1013 |    0.1   22.9    0.9
10   |   253 |    2772 |    7021     508    7021 |    1015     508    1015 |    0.2   17.1    0.8
11   |   255 |    4313 |    7081     507    7081 |    1014     507    1014 |    0.1   22.4    0.9
12   |   255 |    4322 |    7093     507    7093 |    1015     507    1015 |    0.1   23.8    0.9
13   |   253 |    4272 |    6046     505    6046 |    1011     506    1011 |    0.1   17.4    0.8
14   |   255 |    3259 |    7041     506    7041 |    1013     506    1013 |    0.1   17.3    0.8
15   |   255 |    4308 |    7084     507    7084 |    1015     507    1015 |    0.1   23.3    0.9
16   |   255 |    4328 |    7086     509    7086 |    1017     509    1017 |    0.1   23.0    0.9
17   |   255 |    4298 |    7079     507    7079 |    1013     507    1013 |    0.1   23.5    0.9
18   |   255 |    3021 |    7080     507    7080 |    1013     506    1013 |    0.2   22.9    0.9
19   |   254 |    3008 |    6068     506    6068 |    1012     506    1012 |    0.1   17.5    0.8
20   |   254 |    4295 |    7070     505    7070 |    1012     506    1012 |    0.1   23.0    0.9
21   |   255 |    4255 |    6034     506    6034 |    1013     506    1013 |    0.2   16.7    0.8
22   |   255 |    4323 |    7082     507    7082 |    1015     508    1015 |    0.2   23.4    0.9
23   |   255 |    4309 |    7085     507    7085 |    1014     507    1014 |    0.1   23.1    0.9
24   |   255 |    4310 |    7078     508    7078 |    1016     508    1016 |    0.1   23.8    0.9
25   |   253 |    3271 |    7048     506    7048 |    1013     506    1013 |    0.1   16.8    0.8
26   |   255 |    4318 |    7090     507    7090 |    1015     507    1015 |    0.1   23.8    0.9
27   |   255 |    4319 |    7088     507    7088 |    1015     507    1015 |    0.1   23.2    0.9
28   |   255 |    4314 |    7080     507    7080 |    1014     507    1014 |    0.2   17.5    0.8
29   |   255 |    4292 |    7027     509    7027 |    1019     509    1019 |    0.2   16.8    0.8
30   |   254 |    3276 |    7034     507    7034 |    1015     507    1015 |    0.1   17.8    0.8
31   |   254 |    4303 |    7074     507    7074 |    1013     507    1013 |    0.2   23.3    0.9
32   |   255 |    4301 |    7066     508    7066 |    1015     508    1015 |    0.1   17.0    0.8
33   |   255 |    4326 |    7089     508    7089 |    1016     508    1016 |    0.1   22.9    0.9
34   |   255 |    4321 |    6085     508    6085 |    1015     508    1015 |    0.1   17.6    0.8
35   |   255 |    4307 |    7088     507    7088 |    1014     507    1014 |    0.1   22.9    0.9
36   |   253 |    2994 |    6021     505    6021 |    1011     505    1011 |    0.1   17.3    0.8
37   |   255 |    4315 |    7090     507    7090 |    1014     507    1014 |    0.2   23.7    0.9
38   |   255 |    4312 |    7083     507    7083 |    1015     508    1015 |    0.2   23.3    1.0
39   |   255 |    4293 |    7067     507    7067 |    1014     507    1014 |    0.2   23.5    0.9
40   |   252 |    4273 |    6045     505    6045 |    1010     505    1010 |    0.1   17.4    0.8
41   |   255 |    4325 |    7083     508    7083 |    1017     508    1017 |    0.1   24.2    0.9
42   |   255 |    3284 |    7061     507    7061 |    1016     507    1016 |    0.2   17.8    0.8
43   |   255 |    4273 |    6052     506    6052 |    1012     506    1012 |    0.1   17.7    0.8
44   |   255 |    3287 |    7065     506    7065 |    1013     506    1013 |    0.2   18.3    0.8
45   |   254 |    4273 |    6050     506    6050 |    1012     506    1012 |    0.1   17.7    0.8
46   |   255 |    4322 |    7075     507    7075 |    1016     508    1016 |    0.1   23.4    0.9
47   |   255 |    4313 |    7084     507    7084 |    1014     507    1014 |    0.1   22.9    0.9
48   |   255 |    4282 |    6062     506    6062 |    1013     506    1013 |    0.2   17.3    0.8
49   |   255 |    4310 |    7067     507    7067 |    1015     507    1015 |    0.1   24.3    0.9
50   |   255 |    4289 |    6066     506    6066 |    1012     506    1012 |    0.1   17.3    0.8
51   |   254 |    4300 |    7071     507    7071 |    1014     507    1014 |    0.2   22.8    0.9
52   |   255 |    4314 |    7073     506    7073 |    1014     506    1014 |    0.1   23.0    0.9
53   |   255 |    4314 |    7093     508    7093 |    1015     508    1015 |    0.2   24.2    0.9
54   |   255 |    4320 |    7087     508    7087 |    1015     508    1015 |    0.2   22.8    0.9
55   |   255 |    3013 |    6040     506    6040 |    1014     506    1014 |    0.1   17.3    0.8
56   |   255 |    4303 |    7079     507    7079 |    1014     507    1014 |    0.1   23.2    0.9
57   |   254 |    4300 |    7068     506    7068 |    1012     506    1012 |    0.2   24.0    0.9
