=== L5_alg2_1000_prealloc ===
=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 5, Norm bitsize: 254, Iterations: 1000
GRAM prealloc (Phase 2 candidate B): ON

Generating 1000 random ideal lattice pairs (bitsize=254)...
Mode: alg2
  Set 1: 8235.64 ms
  Set 2: 8295.41 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
-----+-------+---------+-------------------------+-------------------------+--------------------
0    |   255 |    4326 |    7099     508    7099 |    1016     508    1016 |    0.2   23.7    0.9
1    |   255 |    4307 |    7064     507    7064 |    1013     507    1013 |    0.1   23.1    0.9
2    |   255 |    4252 |    6029     506    6029 |    1014     506    1014 |    0.1   16.8    0.8
3    |   253 |    4288 |    7062     506    7062 |    1013     506    1013 |    0.1   23.0    0.9
4    |   255 |    3297 |    7078     508    7078 |    1017     508    1017 |    0.1   17.4    0.8
5    |   255 |    4321 |    7081     509    7081 |    1018     509    1018 |    0.1   23.2    0.9
6    |   255 |    4296 |    6072     506    6072 |    1013     506    1013 |    0.1   17.5    0.8
7    |   255 |    3297 |    7087     508    7087 |    1015     508    1015 |    0.1   23.3    0.9
8    |   255 |    4311 |    7085     507    7085 |    1015     507    1015 |    0.1   23.3    0.9
9    |   255 |    4303 |    7064     506    7064 |    1013     506    1013 |    0.1   22.6    0.9
10   |   255 |    4315 |    7089     507    7089 |    1015     508    1015 |    0.1   23.2    0.9
11   |   255 |    4300 |    7056     506    7056 |    1013     506    1013 |    0.1   23.0    0.9
12   |   253 |    3012 |    7052     505    7052 |    1011     505    1011 |    0.1   16.8    0.8
13   |   255 |    4300 |    7068     506    7068 |    1012     506    1012 |    0.1   23.3    0.9
14   |   255 |    4307 |    7081     508    7081 |    1017     508    1017 |    0.2   23.7    0.9
15   |   254 |    4262 |    6036     507    6036 |    1015     507    1015 |    0.2   16.4    0.7
16   |   255 |    4311 |    7081     507    7081 |    1013     507    1013 |    0.1   23.0    0.9
17   |   254 |    4298 |    7077     506    7077 |    1013     507    1013 |    0.1   22.7    0.9
18   |   255 |    4311 |    7079     507    7079 |    1014     507    1014 |    0.1   22.6    0.9
19   |   253 |    4290 |    7058     506    7058 |    1014     506    1014 |    0.2   23.2    0.9
20   |   255 |    4307 |    7082     507    7082 |    1014     507    1014 |    0.1   24.0    0.9
21   |   255 |    4317 |    7079     507    7079 |    1014     507    1014 |    0.1   22.5    0.9
22   |   255 |    4318 |    7084     507    7084 |    1014     507    1014 |    0.1   23.0    0.9
23   |   255 |    4309 |    7079     507    7079 |    1014     507    1014 |    0.1   22.6    0.9
